id,type,grapheme,ipa,stress,syllabification,notes
ba,syllable,BA,ba,1,ba,
be,syllable,BE,be,1,be,e fechado em sílaba isolada
bi,syllable,BI,bi,1,bi,
bo,syllable,BO,bo,1,bo,o fechado em sílaba isolada
bu,syllable,BU,bu,1,bu,
ca,syllable,CA,ka,1,ca,
ce,syllable,CE,se,1,ce,c+e=/s/
ci,syllable,CI,si,1,ci,c+i=/s/
co,syllable,CO,ko,1,co,
cu,syllable,CU,ku,1,cu,
da,syllable,DA,da,1,da,
de,syllable,DE,de,1,de,
di,syllable,DI,dʒi,1,di,palatalização padrão BR
do,syllable,DO,do,1,do,
du,syllable,DU,du,1,du,
fa,syllable,FA,fa,1,fa,
fe,syllable,FE,fe,1,fe,
fi,syllable,FI,fi,1,fi,
fo,syllable,FO,fo,1,fo,
fu,syllable,FU,fu,1,fu,
ga,syllable,GA,ga,1,ga,
ge,syllable,GE,ʒe,1,ge,g+e=/ʒ/
gi,syllable,GI,ʒi,1,gi,g+i=/ʒ/
go,syllable,GO,go,1,go,
gu,syllable,GU,gu,1,gu,
ja,syllable,JA,ʒa,1,ja,
ji,syllable,JI,ʒi,1,ji,
jo,syllable,JO,ʒo,1,jo,
ju,syllable,JU,ʒu,1,ju,
la,syllable,LA,la,1,la,
le,syllable,LE,le,1,le,
li,syllable,LI,li,1,li,
lo,syllable,LO,lo,1,lo,
lu,syllable,LU,lu,1,lu,
ma,syllable,MA,ma,1,ma,
me,syllable,ME,me,1,me,
mi,syllable,MI,mi,1,mi,
mo,syllable,MO,mo,1,mo,
mu,syllable,MU,mu,1,mu,
na,syllable,NA,na,1,na,
ne,syllable,NE,ne,1,ne,
ni,syllable,NI,ni,1,ni,
no,syllable,NO,no,1,no,
nu,syllable,NU,nu,1,nu,
pa,syllable,PA,pa,1,pa,
pe,syllable,PE,pe,1,pe,
pi,syllable,PI,pi,1,pi,
po,syllable,PO,po,1,po,
pu,syllable,PU,pu,1,pu,
ra,syllable,RA,ʁa,1,ra,r inicial uvular fricativo
re,syllable,RE,ʁe,1,re,
ri,syllable,RI,ʁi,1,ri,
ro,syllable,RO,ʁo,1,ro,
ru,syllable,RU,ʁu,1,ru,
sa,syllable,SA,sa,1,sa,
se,syllable,SE,se,1,se,
si,syllable,SI,si,1,si,
so,syllable,SO,so,1,so,
su,syllable,SU,su,1,su,
ta,syllable,TA,ta,1,ta,
te,syllable,TE,te,1,te,
ti,syllable,TI,tʃi,1,ti,palatalização padrão BR
to,syllable,TO,to,1,to,
tu,syllable,TU,tu,1,tu,
va,syllable,VA,va,1,va,
ve,syllable,VE,ve,1,ve,
vi,syllable,VI,vi,1,vi,
vo,syllable,VO,vo,1,vo,
xa,syllable,XA,ʃa,1,xa,x=/ʃ/
xi,syllable,XI,ʃi,1,xi,
xo,syllable,XO,ʃo,1,xo,
xu,syllable,XU,ʃu,1,xu,
za,syllable,ZA,za,1,za,
ze,syllable,ZE,ze,1,ze,
zo,syllable,ZO,zo,1,zo,
zu,syllable,ZU,zu,1,zu,
bala,word,bala,ˈba.la,1,ba-la,paroxítona
belo,word,belo,ˈbɛ.lu,1,be-lo,e tônico aberto; o final reduz a [u]
bico,word,bico,ˈbi.ku,1,bi-co,
bola,word,bola,ˈbɔ.la,1,bo-la,o tônico aberto
bolo,word,bolo,ˈbo.lu,1,bo-lo,o tônico fechado
bule,word,bule,ˈbu.li,1,bu-le,
cama,word,cama,ˈkɐ.mɐ,1,ca-ma,nasalização leve do a pré-nasal
casa,word,casa,ˈka.zɐ,1,ca-sa,s intervocálico=/z/
cedo,word,cedo,ˈse.du,1,ce-do,
cima,word,cima,ˈsi.mɐ,1,ci-ma,
coco,word,coco,ˈko.ku,1,co-co,
cubo,word,cubo,ˈku.bu,1,cu-bo,
dama,word,dama,ˈdɐ.mɐ,1,da-ma,
dedo,word,dedo,ˈde.du,1,de-do,
dino,word,dino,ˈdʒi.nu,1,di-no,
dono,word,dono,ˈdo.nu,1,do-no,
duna,word,duna,ˈdu.nɐ,1,du-na,
fada,word,fada,ˈfa.dɐ,1,fa-da,
feno,word,feno,ˈfe.nu,1,fe-no,
